PWSID,dist_airport_m,dist_airport_km,dist_military_m,dist_military_km,dist_landfill_m,dist_landfill_km,dist_wwtp_m,dist_wwtp_km,dist_industrial_m,dist_industrial_km,landfills_within_1km,industrial_within_1km,landfills_within_3km,industrial_within_3km,landfills_within_5km,industrial_within_5km,landfills_within_10km,industrial_within_10km,is_groundwater,is_mwra,source_type,SITE_NAME,TOWN,num_sources,pws_name,total_samples,total_results,any_detection,ever_exceeded_federal_mcl,max_pfoa_ppt,max_pfos_ppt,num_pfas_detected,max_pfas6_sum_ppt,ever_exceeded_ma_mmcl,in_ucmr5,pfas_detected,serves_ej_community,ej_area_fraction,ej_population_overlapped,any_income,any_minority,any_english,ej_criteria_distinct
MA1004000,11201.063866502036,11.201063866502036,59144.526518087376,59.144526518087375,3176.901029648254,3.1769010296482536,4274.754505346381,4.274754505346381,4232.891414198597,4.232891414198597,0,0,0,0,2,3,9,5,True,False,GW,CHESHIRE HARBOR 4,ADAMS,3,ADAMS FIRE DISTRICT,2.0,58.0,False,False,,,0.0,10.5,False,True,False,True,0.7561958224459691,7525.0,True,False,False,1
MA1004001,6580.8483837765825,6.5808483837765825,60113.13472545549,60.113134725455495,3707.5752429008703,3.7075752429008704,4301.58075839657,4.30158075839657,4017.8641049342905,4.017864104934291,0,0,0,0,3,3,15,13,False,False,TNC,DCR MT GREYLOCK STATE RESERVATION,ADAMS,3,,,,,,,,,,,False,,False,0.0,0.0,False,False,False,0
MA1005001,1294.3565145084874,1.2943565145084874,12571.941711528634,12.571941711528634,4631.578708363792,4.631578708363793,2714.90430619368,2.71490430619368,676.9694930085831,0.6769694930085831,0,2,0,5,1,8,19,51,False,False,TNC,ST ANNE COUNTRY CLUB INC,AGAWAM,1,,,,,,,,,,,False,,False,0.0,0.0,False,False,False,0
MA1006001,5873.570781707455,5.873570781707455,58332.81533193115,58.33281533193115,2600.9524539219738,2.6009524539219737,5530.915367694945,5.530915367694946,11396.25032494886,11.39625032494886,0,0,1,0,1,0,6,0,False,False,NTNC,ALFORD SCHOOL,ALFORD,1,,,,,,,,,,,False,,False,0.0,0.0,False,False,False,0
MA1008000,4265.37835955232,4.2653783595523205,14405.411825392834,14.405411825392834,1015.4559595731771,1.0154559595731771,5189.72440128267,5.18972440128267,4427.615857515765,4.427615857515765,0,0,2,0,3,1,7,8,True,False,GW,WELL #6 (07G),AMHERST,9,AMHERST DPW  WATER DIVISION,15.0,348.0,False,False,,,0.0,10.5,False,True,False,True,0.6883918401693706,37091.0,True,True,False,2
MA1008006,6880.2914145451905,6.880291414545191,12406.53007373512,12.406530073735121,6497.399049809857,6.497399049809857,6081.307945882048,6.081307945882048,5927.33842773946,5.92733842773946,0,0,0,0,0,0,9,21,False,False,TNC,DCR NOTCH VISITORS CENTER,AMHERST,1,,,,,,,,,,,False,,False,0.0,0.0,False,False,False,0
MA1013000,18738.409385223436,18.738409385223438,42320.11270385553,42.32011270385553,1930.5880638017106,1.9305880638017106,1431.0158956308708,1.4310158956308707,15584.211727317661,15.58421172731766,0,0,1,0,2,0,10,0,True,False,GW,WELL #1 (01G),ASHFIELD,2,,,,,,,,,,,False,,False,0.0,0.0,False,False,False,0
MA1013001,16284.867835981875,16.284867835981874,39787.11378192345,39.78711378192345,4878.641252225637,4.878641252225637,2740.3809158678796,2.74038091586788,17107.14927391369,17.107149273913688,0,0,0,0,1,0,7,0,False,False,NTNC,SANDERSON ACADEMY,ASHFIELD,1,,,,,,,,,,,False,,False,0.0,0.0,False,False,False,0
MA1013002,21671.168692292442,21.671168692292444,44035.94913732905,44.03594913732905,1759.2201555243091,1.7592201555243092,2778.176392682027,2.778176392682027,12863.961291561714,12.863961291561715,0,0,2,0,2,0,7,0,False,False,TNC,EDGE HILL GOLF COURSE,ASHFIELD,1,,,,,,,,,,,False,,False,0.0,0.0,False,False,False,0
MA1013004,18837.455069878055,18.837455069878054,40343.00824408641,40.34300824408641,4221.8789244700465,4.2218789244700465,1475.2717162633087,1.4752717162633087,14552.058342937073,14.552058342937073,0,0,0,0,1,0,8,0,False,False,TNC,DOUBLE EDGE THEATRE,ASHFIELD,1,,,,,,,,,,,False,,False,0.0,0.0,False,False,False,0
MA1015000,2581.5815884497483,2.5815815884497484,46609.40091097321,46.60940091097321,1985.4875205357137,1.9854875205357136,1295.8858053715041,1.295885805371504,204.4120737867095,0.2044120737867095,0,2,2,4,3,4,7,6,True,False,GW,SOUTH STREET GRAVEL PACKED WELL,ATHOL,6,ATHOL DPW  WATER DIVISION,4.0,116.0,False,False,,,0.0,10.5,False,True,False,True,0.26777641726992246,5804.0,True,False,False,1
MA1015001,1371.5952875535063,1.3715952875535062,48510.63955424272,48.51063955424272,3628.374778676085,3.628374778676085,2090.125867508374,2.090125867508374,2224.511626976872,2.224511626976872,0,0,0,1,2,3,7,5,False,False,NTNC,ADAMS FARM SLAUGHTERHOUSE LLC,ATHOL,1,,,,,,,,,,,False,,False,0.0,0.0,False,False,False,0
MA1015002,4671.157912517776,4.671157912517776,42957.37546051859,42.95737546051859,6170.613678143722,6.170613678143722,6767.517952184373,6.767517952184373,3976.472076181105,3.9764720761811048,0,0,0,0,0,1,5,6,False,False,TNC,MORGAN MEMORIAL FRESH AIR CAMP,ATHOL,3,,,,,,,,,,,False,,False,0.0,0.0,False,False,False,0
MA1015004,3381.521608167099,3.381521608167099,50425.37147122567,50.42537147122567,1060.2423585944662,1.0602423585944662,2684.6225655666663,2.6846225655666665,2195.7026627450764,2.1957026627450764,0,0,2,1,2,4,5,5,False,False,TNC,SMALL WONDERS PRESCHOOL CENTER,ATHOL,1,,,,,,,,,,,False,,False,0.0,0.0,False,False,False,0
MA1015006,2248.9180295516226,2.2489180295516227,46925.67564685815,46.92567564685815,5598.033746685364,5.598033746685364,3576.815278697442,3.576815278697442,3921.9706666236525,3.9219706666236527,0,0,0,0,0,2,9,5,True,False,GW,WELL #1,ATHOL,1,,,,,,,,,,,False,,True,1.0,2153.0,True,False,False,1
MA1022001,5639.912054131724,5.639912054131725,26774.02204986977,26.77402204986977,2480.024000622529,2.480024000622529,10811.421064845852,10.811421064845852,10987.112342023944,10.987112342023943,0,0,2,0,4,0,9,0,False,False,TNC,BECKET ROUTE 20 SPRING,BECKET,1,,,,,,,,,,,False,,False,0.0,0.0,False,False,False,0
MA1022002,4669.0159986017925,4.669015998601792,36091.22873102549,36.09122873102549,555.8225361348565,0.5558225361348564,12752.99641789705,12.75299641789705,12990.735284187142,12.990735284187142,1,0,1,0,2,0,9,0,False,False,TNC,THE NEON NEWT,BECKET,1,,,,,,,,,,,False,,False,0.0,0.0,False,False,False,0
MA1022004,5942.207444599602,5.942207444599602,29896.518189273043,29.896518189273042,803.5172583703787,0.8035172583703787,8079.482677654059,8.07948267765406,14421.086832615374,14.421086832615375,1,0,1,0,2,0,10,0,False,False,TNC,PAPA BOBS LLC,BECKET,1,,,,,,,,,,,False,,False,0.0,0.0,False,False,False,0
MA1022006,3304.5034514612203,3.3045034514612204,33683.38864779707,33.68338864779707,2008.3085760548363,2.0083085760548363,12103.683742732754,12.103683742732754,14492.45354576599,14.49245354576599,0,0,1,0,2,0,11,0,False,False,TNC,CAMP WATITOH,BECKET,1,,,,,,,,,,,False,,False,0.0,0.0,False,False,False,0
MA1022009,10435.45411794479,10.43545411794479,34913.40552914907,34.913405529149074,2094.045864535813,2.094045864535813,5837.727776990678,5.837727776990678,11836.819763481006,11.836819763481007,0,0,1,0,2,0,7,0,False,False,TNC,CAMP LENOX,BECKET,1,,,,,,,,,,,False,,False,0.0,0.0,False,False,False,0
MA1022010,7360.852659496545,7.360852659496545,30651.492339323606,30.651492339323607,1514.109295948728,1.514109295948728,6542.920283866516,6.542920283866516,15455.504386001761,15.455504386001762,0,0,1,0,2,0,8,0,False,False,TNC,SHERWOOD SHOPPE,BECKET,1,,,,,,,,,,,False,,False,0.0,0.0,False,False,False,0
MA1022011,4479.850532182345,4.479850532182345,35901.875562552385,35.901875562552384,725.0147432123754,0.7250147432123754,12867.124285382673,12.867124285382673,13162.099071548888,13.162099071548887,1,0,1,0,2,0,9,0,False,False,NTNC,BECKET WASHINGTON SCHOOL,BECKET,1,,,,,,,,,,,False,,False,0.0,0.0,False,False,False,0
MA1022013,6650.819541623337,6.650819541623337,31784.91023586159,31.784910235861588,2393.165424108156,2.393165424108156,7390.418084980785,7.3904180849807855,15018.108209609423,15.018108209609423,0,0,2,0,3,0,8,0,False,False,TNC,BERKSHIRE BERRIES,BECKET,1,,,,,,,,,,,False,,False,0.0,0.0,False,False,False,0
MA1022015,2882.8927939876344,2.8828927939876343,32587.172200427915,32.587172200427915,1378.0326883474038,1.378032688347404,11256.954144255878,11.256954144255879,15025.664691122041,15.025664691122042,0,0,1,0,3,0,11,0,False,False,TNC,CAMP GREYLOCK,BECKET,4,,,,,,,,,,,False,,False,0.0,0.0,False,False,False,0
MA1022017,4831.400288119004,4.831400288119004,32128.601934787792,32.128601934787795,941.1257008968503,0.9411257008968503,8723.72007699846,8.72372007699846,14658.410426631546,14.658410426631546,1,0,2,0,2,0,11,0,False,False,TNC,CHIMNEY CORNERS CAMP,BECKET,7,,,,,,,,,,,False,,False,0.0,0.0,False,False,False,0
MA1022019,4439.861768432742,4.439861768432742,33347.863320376106,33.347863320376106,191.38667898815345,0.19138667898815345,10044.80199828055,10.044801998280551,14047.037181634763,14.047037181634764,1,0,1,0,3,0,12,0,False,False,TNC,YMCA CAMP BECKET,BECKET,3,,,,,,,,,,,False,,False,0.0,0.0,False,False,False,0
MA1022020,5914.621258261834,5.914621258261834,29927.83332108012,29.927833321080122,840.7512475399217,0.8407512475399217,8099.175470794685,8.099175470794684,14447.928728074201,14.447928728074201,1,0,1,0,2,0,11,0,False,False,TNC,BECKET MOTEL,BECKET,1,,,,,,,,,,,False,,False,0.0,0.0,False,False,False,0
MA1022021,5687.175564272959,5.687175564272959,30204.13322813434,30.20413322813434,1036.1092250862291,1.0361092250862292,8074.420975103822,8.074420975103822,14721.177351401871,14.721177351401872,0,0,1,0,2,0,11,0,False,False,TNC,BONNIE RIGG CAMPING CLUB INC,BECKET,2,,,,,,,,,,,False,,False,0.0,0.0,False,False,False,0
MA1022022,4776.097198830932,4.776097198830932,31408.19742744039,31.408197427440392,2020.2100901500023,2.020210090150002,9173.409382246198,9.173409382246199,15752.860510870976,15.752860510870976,0,0,2,0,2,0,11,0,False,False,TNC,BECKET COUNTRY STORE,BECKET,1,,,,,,,,,,,False,,False,0.0,0.0,False,False,False,0
MA1022026,8888.629192949747,8.888629192949747,35262.9522215531,35.26295222155311,1139.483064374925,1.1394830643749252,7348.76206112482,7.3487620611248206,11256.663276226876,11.256663276226876,0,0,1,0,2,0,8,0,False,False,NTNC,JACOBS PILLOW DANCE FESTIVAL,BECKET,3,,,,,,,,,,,False,,False,0.0,0.0,False,False,False,0
MA1022027,3287.632079561054,3.287632079561054,34785.83891228937,34.78583891228937,1430.7263681126776,1.4307263681126776,12630.148073864704,12.630148073864705,14123.134420867838,14.123134420867839,0,0,1,0,2,0,10,0,False,False,NTNC,KUSHI INSTITUTE,BECKET,4,,,,,,,,,,,False,,False,0.0,0.0,False,False,False,0
MA1022028,5707.173648687261,5.707173648687261,39760.195893714445,39.760195893714446,4359.692092903599,4.3596920929035985,9314.453436039217,9.314453436039217,8338.599586871893,8.338599586871894,0,0,0,0,2,0,9,2,False,False,TNC,DREAM AWAY LODGE,BECKET,1,,,,,,,,,,,False,,False,0.0,0.0,False,False,False,0
MA1022029,3998.3652289466845,3.9983652289466844,34032.66099362768,34.03266099362768,1531.0570013097629,1.5310570013097629,11648.235638049598,11.648235638049599,13988.631631162514,13.988631631162514,0,0,1,0,2,0,11,0,False,False,TNC,LANE FARM,BECKET,1,,,,,,,,,,,False,,False,0.0,0.0,False,False,False,0
MA1022030,4885.561863323902,4.885561863323902,31293.620525590377,31.293620525590377,2163.122349872223,2.1631223498722227,9046.4217530549,9.046421753054899,15654.250156353084,15.654250156353084,0,0,2,0,2,0,11,0,False,False,TNC,BECKET TOWN HALL,BECKET,1,,,,,,,,,,,False,,False,0.0,0.0,False,False,False,0
MA1022031,10562.498365400166,10.562498365400167,35623.13817309273,35.623138173092734,1443.264036581844,1.443264036581844,6488.186399541488,6.488186399541488,11100.665601377197,11.100665601377198,0,0,1,0,1,0,8,0,False,False,TNC,WATER TEN,BECKET,1,,,,,,,,,,,False,,False,0.0,0.0,False,False,False,0
MA1022032,10493.102683375233,10.493102683375232,35759.45160761438,35.75945160761438,1230.8025355587545,1.2308025355587544,6701.689328824122,6.701689328824122,10947.164295831022,10.947164295831023,0,0,1,0,1,0,8,0,False,False,TNC,MOUNTAIN GROVE ASSOCIATION,BECKET,1,,,,,,,,,,,False,,False,0.0,0.0,False,False,False,0
MA1022033,4668.669982009376,4.668669982009376,36078.35303668561,36.078353036685606,599.131693045638,0.5991316930456381,12811.111939468872,12.811111939468873,12968.240318842594,12.968240318842595,1,0,1,0,2,0,9,0,False,False,TNC,MULLIN HOUSE,BECKET,1,,,,,,,,,,,False,,False,0.0,0.0,False,False,False,0
MA1022035,4433.307338971623,4.433307338971622,35766.87858619446,35.766878586194466,1025.8983272850273,1.0258983272850273,13241.824494660412,13.241824494660412,13093.861675975739,13.093861675975738,0,0,1,0,2,0,9,0,False,False,TNC,THE SPENCER HOUSE LLC,BECKET,1,,,,,,,,,,,False,,False,0.0,0.0,False,False,False,0
MA1024000,2500.8259061332137,2.5008259061332136,15172.649442781509,15.172649442781509,3176.77769346367,3.17677769346367,1749.0911994301114,1.7490911994301113,2341.834394338157,2.3418343943381568,0,0,0,1,4,2,6,8,True,False,GW,JABISH BROOK WELLFIELD (06G),BELCHERTOWN,6,BELCHERTOWN WATER DISTRICT,4.0,116.0,False,False,,,0.0,10.5,False,True,False,False,0.0,0.0,False,False,False,0
MA1024001,2705.5817148616443,2.705581714861644,14791.688722254132,14.791688722254133,5351.5619757097575,5.351561975709758,3991.2138904866624,3.9912138904866623,2048.9322747658202,2.04893227476582,0,0,0,1,0,1,6,5,True,False,GW,WELL #3,BELCHERTOWN,1,,,,,,,,,,,False,,False,0.0,0.0,False,False,False,0
